date,formation_date,gross_ret,net_ret,bench_ret,spread_gross,n_eligible,n_held,turnover,cost
2017-02-28,2017-01-31,-0.0390260831684422,-0.0415260831684422,-0.014785819591202983,0.0019157650814347338,92,9,1.0,0.0025
2017-03-31,2017-02-28,-0.05676827196753975,-0.05676827196753975,0.014354330509316546,-0.09490669809025501,92,9,0.0,0.0
2017-04-30,2017-03-31,-0.005642054810721923,-0.006753165921833035,-0.0008900719223525501,0.016545467531094735,92,9,0.4444444444444444,0.0011111111111111111
2017-05-31,2017-04-30,0.0006077878781030672,-0.0010588787885635995,0.0006413208085256844,-0.0011078704466823191,92,9,0.6666666666666666,0.0016666666666666666
2017-06-30,2017-05-31,-0.006671120249250355,-0.008893342471472577,0.004236369766204894,-0.012666029151497973,92,9,0.8888888888888888,0.0022222222222222222
2017-07-31,2017-06-30,-0.019166653251129255,-0.021944431028907033,-0.02166866419570452,0.0033691425287694712,92,9,1.1111111111111112,0.002777777777777778
2017-08-31,2017-07-31,0.05612969111381917,0.05390746889159695,0.04118914896823431,0.03759965115704389,91,9,0.8888888888888888,0.0022222222222222222
2017-09-30,2017-08-31,0.08508993164538738,0.08397882053427627,0.04619121314153801,0.06293532187531795,91,9,0.4444444444444444,0.0011111111111111111
2017-10-31,2017-09-30,0.10054702246161346,0.09943591135050235,0.04893606155756062,0.08540528510935538,92,9,0.4444444444444444,0.0011111111111111111
2017-11-30,2017-10-31,-0.007830534842351201,-0.008941645953462312,-0.027278965741264708,0.052100951337170825,93,9,0.4444444444444444,0.0011111111111111111
2017-12-31,2017-11-30,0.0843731472152238,0.08215092499300158,0.02047066866702701,0.10817045960267042,93,9,0.8888888888888888,0.0022222222222222222
2018-01-31,2017-12-31,0.025241357669671186,0.024130246558560074,0.02049942813614964,0.04362094715014364,94,9,0.4444444444444444,0.0011111111111111111
2018-02-28,2018-01-31,-0.034818849696690815,-0.03704107191891304,-0.03243969777472334,0.04243091646638038,91,9,0.8888888888888888,0.0022222222222222222
2018-03-31,2018-02-28,-0.05943778967751201,-0.06054890078862312,-0.039966088273833245,-0.0758970231779357,91,9,0.4444444444444444,0.0011111111111111111
2018-04-30,2018-03-31,0.014634953012871297,0.014079397457315741,0.007530251987714624,0.06059785672713097,91,9,0.2222222222222222,0.0005555555555555556
2018-05-31,2018-04-30,-0.05445079026521529,-0.055006345820770845,-0.006304630146521224,-0.10361363050015174,93,9,0.2222222222222222,0.0005555555555555556
2018-06-30,2018-05-31,-0.08651588121312168,-0.08762699232423278,-0.11274351977295219,0.0337781279122084,94,9,0.4444444444444444,0.0011111111111111111
2018-07-31,2018-06-30,0.002240098523718512,0.0016845429681629563,0.08717290662012028,-0.1829817098278601,94,9,0.2222222222222222,0.0005555555555555556
2018-08-31,2018-07-31,0.021933584130328348,0.020822473019217237,0.028994872039299256,0.022045398761213638,91,9,0.4444444444444444,0.0011111111111111111
